lat,lon,orbitYear,gasID,concentration,norm_concentration
49,-113,2014,CO2,4.000e-04,3.8757125140206505
61,-71,2014,CO2,4.000e-04,3.8757125140206505
47,-91,2019,CCl2F2,4.870e-10,3.845615116974527
76,-89,2014,CO2,3.960e-04,3.8211285778323947
62,-133,2019,CCl2F2,4.800e-10,3.7746144590168593
64,-129,2019,CCl2F2,4.800e-10,3.7746144590168593
77,-117,2014,CO2,3.920e-04,3.766544641644139
62,-55,2019,CCl2F2,4.780e-10,3.75432855674324
41,-61,2019,CCl2F2,4.760e-10,3.734042654469621
65,-134,2019,CCl2F2,4.720e-10,3.6934708499223823
57,-89,2019,CCl2F2,4.620e-10,3.592041338554285
62,-78,2005,CO2,6.110e-04,3.5033087285978466
61,-87,2019,CCl2F2,4.530e-10,3.5007547783229978
59,-103,2011,CO2,6.600e-04,3.481068834763634
62,-122,2019,CCl2F2,4.500e-10,3.4703259249125686
60,-88,2019,CCl2F2,4.430e-10,3.3993252669549014
65,-99,2019,CCl2F2,4.410e-10,3.3790393646812813
81,-110,2009,CO2,5.430e-04,3.350722892112476
44,-79,2019,CCl2F2,4.380e-10,3.3486105112708526
69,-137,2019,CCl2F2,4.360e-10,3.328324608997233
82,-51,2012,CO2,5.500e-04,3.2926914587502436
60,-107,2019,CCl2F2,4.290e-10,3.2573239510395657
67,-124,2005,CO2,5.680e-04,3.1640302027479503
63,-112,2010,CO2,5.080e-04,3.108950102644071
49,-87,2004,CO2,5.980e-04,3.014193996621655
80,-52,2009,CO2,5.030e-04,3.0091032725176676
82,-127,2012,CO2,4.950e-04,2.8365333778825854
40,-127,2016,CCl2F2,9.040e-10,2.8263061799577693
58,-68,2013,CCl2F2,6.480e-10,2.7802444175359096
78,-117,2004,CO2,5.570e-04,2.715640506651309
78,-68,2004,CO2,5.560e-04,2.7083587142130074
64,-77,2010,CO2,4.610e-04,2.700653908593944
65,-85,2007,CO2,4.710e-04,2.6948895569443336
62,-97,2010,CO2,4.590e-04,2.683279602464151
81,-97,2008,CO2,4.970e-04,2.674503441267812
43,-135,2009,CCl2F2,9.370e-10,2.6740213210994805
59,-112,2009,CO2,4.630e-04,2.6674836529228596
60,-117,2005,CO2,5.010e-04,2.6353869182841585
66,-104,2017,CO2,6.290e-04,2.6304876570979414
65,-105,2009,CO2,4.580e-04,2.624781200473509
44,-106,2012,CO2,4.680e-04,2.612601229093008
65,-68,2019,CO2,7.450e-04,2.607889700214412
67,-131,2010,CO2,4.480e-04,2.587720918750292
67,-100,2009,CO2,4.530e-04,2.582078748024158
61,-74,2009,CO2,4.520e-04,2.5735382575342873
48,-99,2005,CO2,4.920e-04,2.5643751338039475
42,-134,2012,CO2,4.620e-04,2.5628385293619904
81,-136,2008,CO2,4.830e-04,2.5627511638420177
68,-107,2009,CO2,4.480e-04,2.5393762955748067
59,-133,2009,CO2,4.480e-04,2.5393762955748067
82,-126,2013,CO2,4.870e-04,2.5316844317105924
66,-57,2007,CO2,4.510e-04,2.5245355522412183
52,-105,2010,CO2,4.400e-04,2.5182236942311214
62,-89,2009,CO2,4.450e-04,2.5137548241051957
59,-115,2010,CO2,4.390e-04,2.509536541166225
68,-87,2005,CO2,4.850e-04,2.5091437458748946
54,-88,2009,CO2,4.440e-04,2.5052143336153256
65,-129,2009,CO2,4.430e-04,2.4966738431254556
62,-113,2009,CO2,4.410e-04,2.479592862145715
69,-111,2008,CO2,4.720e-04,2.4749458030074654
42,-136,2006,CO2,4.540e-04,2.472380591041349
61,-51,2013,CCl2F2,5.940e-10,2.4687697979930263
63,-56,2013,N2O,9.990e-08,2.4633942634941697
68,-79,2013,N2O,9.990e-08,2.4633942634941697
82,-107,2013,N2O,9.990e-08,2.4633942634941697
57,-121,2013,N2O,9.980e-08,2.460399673951539
82,-93,2013,N2O,9.980e-08,2.460399673951539
68,-128,2013,N2O,9.970e-08,2.457405084408909
41,-83,2013,N2O,9.970e-08,2.457405084408909
62,-55,2013,N2O,9.970e-08,2.457405084408909
76,-136,2013,N2O,9.960e-08,2.454410494866279
64,-96,2013,N2O,9.960e-08,2.454410494866279
67,-81,2013,N2O,9.960e-08,2.454410494866279
63,-62,2013,N2O,9.950e-08,2.4514159053236484
80,-138,2013,N2O,9.950e-08,2.4514159053236484
68,-87,2013,N2O,9.950e-08,2.4514159053236484
61,-139,2013,N2O,9.950e-08,2.4514159053236484
45,-67,2013,N2O,9.950e-08,2.4514159053236484
72,-130,2013,N2O,9.920e-08,2.4424321366957575
44,-64,2013,N2O,9.920e-08,2.4424321366957575
83,-98,2013,N2O,9.920e-08,2.4424321366957575
79,-129,2013,N2O,9.920e-08,2.4424321366957575
46,-85,2013,N2O,9.920e-08,2.4424321366957575
83,-75,2013,N2O,9.910e-08,2.439437547153127
65,-92,2013,N2O,9.910e-08,2.439437547153127
58,-116,2013,N2O,9.910e-08,2.439437547153127
58,-111,2013,N2O,9.910e-08,2.439437547153127
66,-94,2013,N2O,9.910e-08,2.439437547153127
63,-82,2013,N2O,9.900e-08,2.436442957610497
54,-51,2008,CO2,4.670e-04,2.4350342753553966
68,-75,2013,N2O,9.870e-08,2.4274591889826063
54,-90,2013,N2O,9.870e-08,2.4274591889826063
63,-124,2013,N2O,9.860e-08,2.424464599439976
83,-76,2013,N2O,9.860e-08,2.424464599439976
58,-122,2010,CO2,4.290e-04,2.422665010517262
78,-91,2010,CO2,4.290e-04,2.422665010517262
65,-135,2013,N2O,9.850e-08,2.421470009897346
62,-138,2009,CO2,4.340e-04,2.4198094287166234
66,-112,2013,N2O,9.840e-08,2.4184754203547154
66,-84,2013,N2O,9.840e-08,2.4184754203547154
59,-67,2013,N2O,9.840e-08,2.4184754203547154
66,-109,2011,CCl2F2,5.950e-10,2.417141733602364
76,-109,2007,CO2,4.380e-04,2.413805449184194
66,-54,2012,CO2,4.440e-04,2.413550430168939
61,-130,2013,N2O,9.820e-08,2.412486241269455
83,-99,2013,N2O,9.820e-08,2.412486241269455
65,-80,2013,N2O,9.810e-08,2.4094916517268246
81,-112,2013,N2O,9.810e-08,2.4094916517268246
80,-111,2013,N2O,9.810e-08,2.4094916517268246
49,-117,2010,CO2,4.270e-04,2.4052907043874696
80,-135,2013,N2O,9.790e-08,2.403502472641564
82,-129,2013,N2O,9.790e-08,2.403502472641564
80,-112,2013,N2O,9.770e-08,2.3975132935563033
65,-129,2013,N2O,9.770e-08,2.3975132935563033
75,-116,2013,N2O,9.770e-08,2.3975132935563033
79,-79,2009,CO2,4.310e-04,2.3941879572470133
72,-57,2013,N2O,9.750e-08,2.3915241144710433
64,-86,2013,N2O,9.750e-08,2.3915241144710433
58,-136,2013,N2O,9.750e-08,2.3915241144710433
68,-92,2013,N2O,9.750e-08,2.3915241144710433
64,-112,2013,N2O,9.740e-08,2.388529524928413
49,-134,2004,CCl2F2,5.810e-10,2.3867262692930806
55,-116,2009,CO2,4.300e-04,2.385647466757143
45,-100,2013,N2O,9.720e-08,2.382540345843152
48,-125,2013,N2O,9.710e-08,2.379545756300522
65,-62,2010,CO2,4.240e-04,2.3792292451927803
57,-94,2009,CO2,4.290e-04,2.3771069762672727
63,-81,2013,N2O,9.700e-08,2.3765511667578916
65,-112,2013,N2O,9.690e-08,2.3735565772152616
78,-131,2012,CO2,4.390e-04,2.3720815137264246
76,-109,2008,CO2,4.590e-04,2.371175831112086
81,-97,2013,N2O,9.680e-08,2.370561987672631
82,-73,2013,N2O,9.670e-08,2.3675673981300007
80,-73,2013,CO2,4.660e-04,2.3674914145344332
65,-59,2005,CO2,4.670e-04,2.3671201769144727
67,-94,2012,CO2,4.380e-04,2.3637877304379216
60,-101,2013,N2O,9.640e-08,2.3585836295021103
80,-114,2013,N2O,9.630e-08,2.35558903995948
64,-125,2012,CO2,4.370e-04,2.3554939471494185
50,-91,2013,CCl2F2,5.740e-10,2.3534088277919585
66,-83,2013,N2O,9.620e-08,2.3525944504168494
70,-108,2004,CCl2F2,5.750e-10,2.352327457122263
60,-90,2011,CO2,5.040e-04,2.352288690363433
56,-128,2009,CO2,4.260e-04,2.351485504797662
82,-132,2013,N2O,9.610e-08,2.349599860874219
71,-135,2012,CO2,4.360e-04,2.347200163860916
71,-124,2013,N2O,9.600e-08,2.346605271331589
46,-127,2004,CCl2F2,5.740e-10,2.34659432176046
60,-77,2013,CO2,4.630e-04,2.344035269223553
68,-114,2013,N2O,9.590e-08,2.343610681788959
47,-60,2013,N2O,9.580e-08,2.3406160922463286
74,-120,2013,N2O,9.570e-08,2.337621502703698
67,-86,2009,CO2,4.240e-04,2.3344045238179216
44,-51,2013,N2O,9.550e-08,2.3316323236184378
79,-75,2012,CO2,4.340e-04,2.33061259728391
41,-124,2004,CCl2F2,5.710e-10,2.3293949156750515
77,-124,2010,CO2,4.180e-04,2.3271063268034027
64,-80,2011,CCl2F2,5.790e-10,2.326350768823479
59,-84,2009,CO2,4.230e-04,2.325864033328051
48,-85,2004,CCl2F2,5.700e-10,2.3236617803132487
77,-104,2006,CO2,4.360e-04,2.3216693161267874
67,-74,2013,N2O,9.510e-08,2.3196539654479165
61,-72,2009,CO2,4.220e-04,2.317323542838181
66,-120,2011,CCl2F2,5.770e-10,2.315001898226118
48,-112,2012,CO2,4.320e-04,2.314025030706904
77,-124,2013,N2O,9.470e-08,2.3076756072773956
73,-102,2013,N2O,9.470e-08,2.3076756072773956
52,-119,2013,CCl2F2,5.660e-10,2.307264439711531
80,-85,2010,CO2,4.150e-04,2.3010448676087134
71,-122,2009,CO2,4.200e-04,2.300242561858441
83,-96,2012,CO2,4.300e-04,2.2974374641298985
81,-106,2013,CO2,4.570e-04,2.2971229786017933
78,-94,2013,CO2,4.570e-04,2.2971229786017933
59,-136,2013,CCl2F2,5.640e-10,2.2957283426914246
82,-105,2013,N2O,9.430e-08,2.295697249106875
78,-104,2013,N2O,9.430e-08,2.295697249106875
75,-123,2009,CO2,4.190e-04,2.2917020713685705
64,-118,2013,N2O,9.400e-08,2.2867134804789835
61,-51,2013,N2O,9.390e-08,2.2837188909363535
78,-80,2009,CO2,4.180e-04,2.2831615808787005
82,-81,2012,CO2,4.280e-04,2.280849897552893
83,-56,2013,N2O,9.380e-08,2.2807243013937235
72,-70,2011,CO2,4.940e-04,2.2799309887993173
54,-78,2007,CO2,4.220e-04,2.2775222454217015
63,-124,2010,CO2,4.120e-04,2.274983408414024
67,-125,2009,CO2,4.170e-04,2.27462109038883
67,-94,2009,CO2,4.170e-04,2.27462109038883
64,-72,2009,CO2,4.170e-04,2.27462109038883
80,-98,2013,CO2,4.540e-04,2.273666833290913
65,-75,2013,N2O,9.350e-08,2.271740532765832
59,-130,2013,N2O,9.340e-08,2.268745943223202
57,-52,2004,CCl2F2,5.600e-10,2.2663304266952196
47,-89,2010,CO2,4.110e-04,2.266296255349128
59,-79,2010,CO2,4.110e-04,2.266296255349128
67,-68,2009,CO2,4.160e-04,2.26608059989896
46,-90,2013,N2O,9.330e-08,2.265751353680572
79,-84,2004,CO2,4.950e-04,2.2641693754766394
59,-116,2018,CO2,5.060e-04,2.2640840634323505
65,-101,2011,CCl2F2,5.670e-10,2.258257545239315
61,-84,2010,CO2,4.100e-04,2.2576091022842317
82,-94,2010,CO2,4.100e-04,2.2576091022842317
63,-99,2010,CO2,4.100e-04,2.2576091022842317
65,-63,2009,CO2,4.150e-04,2.25754010940909
82,-59,2012,CO2,4.250e-04,2.255968547687384
81,-108,2012,CO2,4.250e-04,2.255968547687384
66,-65,2006,CO2,4.280e-04,2.254686527275871
40,-62,2013,CO2,4.510e-04,2.2502106879800334
47,-93,2004,CCl2F2,5.570e-10,2.249131020609811
69,-54,2004,CCl2F2,5.570e-10,2.249131020609811
58,-69,2009,CO2,4.140e-04,2.2489996189192194
77,-134,2009,CO2,4.140e-04,2.2489996189192194
81,-108,2010,CO2,4.090e-04,2.2489219492193357
49,-92,2010,CO2,4.090e-04,2.2489219492193357
69,-70,2013,N2O,9.270e-08,2.2477838164247905
58,-79,2012,CO2,4.240e-04,2.2476747643988815
54,-140,2006,CO2,4.270e-04,2.2463136786695066
65,-65,2011,CO2,4.890e-04,2.243752138017259
62,-137,2007,CO2,4.180e-04,2.2434514444810785
71,-137,2004,CCl2F2,5.560e-10,2.243397885248008
45,-123,2010,CO2,4.080e-04,2.240234796154439
45,-87,2012,CO2,4.230e-04,2.2393809811103784
59,-103,2005,CO2,4.500e-04,2.2329868062296296
56,-135,2013,CCl2F2,5.530e-10,2.2322798090808367
68,-128,2010,CO2,4.070e-04,2.231547643089543
64,-59,2010,CO2,4.070e-04,2.231547643089543
82,-61,2012,CO2,4.220e-04,2.231087197821876
47,-120,2013,N2O,9.200e-08,2.2268216896263784
81,-130,2013,CO2,4.480e-04,2.2267545426691533
42,-86,2004,CCl2F2,5.530e-10,2.226198479162599
49,-86,2009,CO2,4.110e-04,2.2233781474496093
66,-111,2010,CO2,4.060e-04,2.2228604900246465
56,-133,2010,CO2,4.060e-04,2.2228604900246465
56,-102,2010,CO2,4.060e-04,2.2228604900246465
76,-54,2010,CO2,4.060e-04,2.2228604900246465
80,-109,2012,CO2,4.210e-04,2.2227934145333728
65,-88,2013,N2O,9.180e-08,2.220832510541118
66,-123,2013,CCl2F2,5.510e-10,2.22074371206073
48,-129,2016,CO2,5.320e-04,2.2190425148056687
43,-92,2011,CCl2F2,5.600e-10,2.218536498148553
43,-116,2011,CCl2F2,5.600e-10,2.218536498148553
66,-88,2007,CO2,4.150e-04,2.217898343775611
85,-88,2007,CO2,4.150e-04,2.217898343775611
82,-58,2012,CO2,4.200e-04,2.21449963124487
64,-132,2010,CO2,4.050e-04,2.21417333695975
82,-67,2010,CO2,4.050e-04,2.21417333695975
52,-86,2010,CO2,4.050e-04,2.21417333695975
61,-127,2006,CO2,4.230e-04,2.212822284244048
63,-112,2007,CO2,4.140e-04,2.209380643540455
71,-78,2007,CO2,4.140e-04,2.209380643540455
62,-69,2007,CO2,4.140e-04,2.209380643540455
80,-60,2007,CO2,4.140e-04,2.209380643540455
63,-110,2013,CCl2F2,5.490e-10,2.2092076150406235
70,-104,2004,CCl2F2,5.500e-10,2.2089990730771905
55,-106,2004,CCl2F2,5.500e-10,2.2089990730771905
62,-87,2013,N2O,9.140e-08,2.2088541523705967
78,-124,2009,CO2,4.090e-04,2.2062971664698687
62,-64,2009,CO2,4.090e-04,2.2062971664698687
59,-109,2009,CO2,4.090e-04,2.2062971664698687
40,-131,2012,CO2,4.190e-04,2.206205847956367
47,-55,2012,CO2,4.190e-04,2.206205847956367
82,-88,2012,CO2,4.190e-04,2.206205847956367
45,-58,2010,CO2,4.040e-04,2.205486183894854
80,-82,2010,CO2,4.040e-04,2.205486183894854
61,-71,2010,CO2,4.040e-04,2.205486183894854
68,-79,2010,CO2,4.040e-04,2.205486183894854
65,-96,2010,CO2,4.040e-04,2.205486183894854
50,-139,2013,CCl2F2,5.480e-10,2.20343956653057
49,-84,2004,CCl2F2,5.490e-10,2.2032659377153876
45,-102,2004,CCl2F2,5.490e-10,2.2032659377153876
79,-90,2004,CCl2F2,5.490e-10,2.2032659377153876
79,-85,2004,CCl2F2,5.490e-10,2.2032659377153876
82,-131,2013,N2O,9.120e-08,2.2028649732853363
82,-78,2012,CO2,4.180e-04,2.1979120646678645
76,-139,2012,CO2,4.180e-04,2.1979120646678645
80,-100,2009,CO2,4.080e-04,2.1977566759799982
58,-131,2009,CO2,4.080e-04,2.1977566759799982
60,-113,2009,CO2,4.080e-04,2.1977566759799982
78,-58,2009,CO2,4.080e-04,2.1977566759799982
61,-92,2013,CCl2F2,5.470e-10,2.197671518020517
